title,year,certificate,genre,rating
The Family Man,2019–,16+,Action  Comedy  Drama            ,8.7
The Legend of Hanuman,2021–,PG,Animation            ,9.2
Thank God,2022,UA,Comedy  Fantasy            ,6.1
K.G.F: Chapter 2,2022,UA,Action  Crime  Drama            ,8.4
I Am Number Four,2011,UA,Action  Adventure  Sci-Fi            ,6.1
The Bourne Supremacy,2004,A,Action  Mystery  Thriller            ,7.7
The Fall,I 2006,R,Adventure  Drama  Fantasy            ,7.8
Scam 1992: The Harshad Mehta Story,2020,18,Biography  Crime  Drama            ,9.3
Padavettu,2022,UA 16+,Action  Drama  Thriller            ,7.8
The Foreigner,I 2017,A,Action  Thriller            ,7.0
Drishyam 2,2021,13,Crime  Drama  Thriller            ,8.4
Real Steel,2011,UA,Action  Drama  Sci-Fi            ,7.0
The Trial of the Chicago 7,2020,18,Drama  History  Thriller            ,7.7
The BFG,2016,UA,Adventure  Family  Fantasy            ,6.3
War Horse,2011,U,Action  Adventure  Drama            ,7.2
Cirkus,2022,UA,Comedy  Drama            ,8.0
Bãhubali: The Beginning,2015,UA,Action  Drama            ,8.3
Tapana,2022,A,Romance            ,8.9
Panchayat,2020–,16,Comedy  Drama            ,8.3
Crushed,2022–,UA 13+,Comedy  Drama  Romance            ,8.1
Gandhi,1982,U,Biography  Drama  History            ,9.3
Zakir Khan: Tathastu,2022 TV Special,,Comedy            ,7.0
Kabir Singh,2019,A,Action  Drama  Romance            ,5.1
Conan the Barbarian,2011,A,Action  Adventure  Fantasy            ,6.4
Need for Speed,2014,UA,Action  Thriller            ,7.2
The Darjeeling Limited,2007,R,Adventure  Comedy  Drama            ,7.0
Phone Bhoot,2022,UA,Comedy  Horror            ,7.5
Iss Pyaar Ko Kya Naam Doon,2011–2018,PG,Drama  Romance            ,9.8
Maarrich,2022,UA,Crime  Mystery  Thriller            ,8.5
Sacred Games,2018–2019,A,Action  Crime  Drama            ,9.1
Kota Factory,2019–2021,16,Comedy  Drama            ,7.7
Chhello Show,2021,U,Drama            ,6.0
Cowboys & Aliens,2011,13,Action  Sci-Fi  Thriller            ,8.9
777 Charlie,2022,UA,Adventure  Comedy  Drama            ,8.8
Rocketry: The Nambi Effect,2022,UA,Biography  Drama            ,8.2
Major,2022,UA,Action  Biography  Drama            ,9.1
TVF Pitchers,2015–2022,Not Rated,Comedy  Drama            ,7.3
The Hundred-Foot Journey,2014,PG,Comedy  Drama            ,7.6
Priest : The Whip and the Rise of the Evil,2022,,Action  Adventure  Horror            ,7.0
Pathaan,2023,UA,Action  Drama  Thriller            ,8.4
Pushpa: The Rise - Part 1,2021,UA,Action  Crime  Drama            ,7.3
Gangubai Kathiawadi,2022,UA,Biography  Crime  Drama            ,7.2
Vikram,2022,UA,Action  Crime  Thriller            ,7.9
The Way Back,I 2010,A,Adventure  Drama  History            ,8.2
A Dog's Purpose,2017,U,Adventure  Comedy  Drama            ,8.9
Girls Hostel,2018–,12+,Comedy  Drama            ,6.4
Vadh,2022,A,Drama  Thriller            ,8.7
Jai Bhim,2021,A,Crime  Drama  Mystery            ,7.0
Fright Night,2011,A,Comedy  Horror            ,8.5
Cheppalani Undhi,2022,,Action  Comedy  Drama            ,7.0
Runway 34,2022,UA,Drama  Thriller            ,7.3
Delhi Crime,2019–,16+,Crime  Drama            ,4.5
Sultan,2016,UA,Action  Drama  Sport            ,8.0
Jamtara: Sabka Number Ayega,2020–,18,Crime            ,7.6
Gold,V 2022,U,Comedy  Drama  Thriller            ,6.8
Paatal Lok,2020–,18,Crime  Drama  Thriller            ,8.5
Sardar,2022,UA,Action  Drama            ,8.4
Tadka,2022,UA 13+,Comedy  Drama  Romance            ,4.4
Hostel Daze,2019–,16,Comedy  Drama            ,6.9
Saudi Vellakka,2022,U,Drama            ,8.1
Dobaaraa,2022,UA,Drama  Fantasy  Mystery            ,6.0
Shooter,II 2022,Not Rated,Action            ,7.8
PK,2014,UA,Comedy  Drama  Sci-Fi            ,6.5
The House with a Clock in Its Walls,2018,UA,Comedy  Family  Fantasy            ,8.2
Criminal Justice: Adhura Sach,2022–,UA 16+,Crime  Drama  Mystery            ,7.2
Bulbbul,2020,16,Drama  Horror  Mystery            ,8.2
Baahubali 2: The Conclusion,2017,UA,Action  Drama            ,4.8
Gatta Kusthi,2022,U,Comedy            ,8.2
Andhadhun,2018,UA,Comedy  Crime  Music            ,6.9
Shut In,I 2016,PG-13,Drama  Horror  Mystery            ,7.5
Uri: The Surgical Strike,2019,UA,Action  Drama  History            ,8.3
Miral,2022,UA,Drama            ,7.4
Lekh,2022,U,Drama  Romance            ,8.6
The Kashmir Files,2022,A,Drama            ,7.2
A Dog's Journey,2019,U,Adventure  Comedy  Drama            ,4.5
Special OPS,2020–,15+,Action  Crime  Thriller            ,7.9
The Light Between Oceans,2016,PG-13,Drama  Romance            ,7.1
Dangerous,I 2021,A,Action  Romance  Thriller            ,8.2
Mili,2022,UA,Drama  Thriller            ,8.5
The White Tiger,2021,16,Crime  Drama            ,9.1
Gangs of Wasseypur,2012,A,Action  Comedy  Crime            ,8.3
Kaithi,2019,UA,Action  Adventure  Crime            ,2.8
Gullak,2019–,12+,Comedy  Drama  Family            ,8.2
Apharan,2018–,18+,Action  Crime  Thriller            ,8.5
Snowman,2022,A,Action  Drama            ,6.5
Suzhal - The Vortex,2022–,UA 16+,Crime  Drama  Thriller            ,8.2
TVF Tripling,2016–,Not Rated,Comedy  Drama            ,8.3
Dhoom:2,2006,UA,Action  Crime  Thriller            ,8.1
K.G.F: Chapter 1,2018,UA,Action  Crime  Drama            ,8.3
Chhichhore,2019,UA,Comedy  Drama  Romance            ,7.1
Faadu,2022–,,,7.7
Dangal,2016,U,Action  Biography  Drama            ,7.5
VR (Vikrant Rona),2022,UA 13+,Action  Crime  Drama            ,9.5
Sir,I 2018,15+,Drama  Romance            ,7.7
All That Breathes,2022,,Documentary            ,7.2
Jawan,2023,,Action  Drama  Thriller            ,7.2
The Teacher,II 2022,UA,Drama  Thriller            ,8.7
Laila Majnu,2018,UA,Drama  Romance            ,7.1
Mastram,2020–,18,Comedy  Fantasy            ,5.3
The Man Who Knew Infinity,2015,U,Biography  Drama            ,6.6
ImMATURE,2019–,Not Rated,Comedy  Drama  Romance            ,6.8
Ginna,2022,UA,Action  Comedy  Drama            ,8.2
Hush Hush,2022–,A,Drama            ,8.4
Darlings,I 2022,UA 16+,Comedy  Drama  Thriller            ,6.2
The Reluctant Fundamentalist,2012,UA,Drama  Thriller            ,3.5
Zindagi Na Milegi Dobara,2011,U,Comedy  Drama  Musical            ,7.4
Taare Zameen Par,2007,U,Drama  Family            ,5.0
Jug Jugg Jeeyo,2022,UA,Comedy  Drama  Family            ,6.4
Naagin,2015–,13,Drama  Fantasy  Mystery            ,6.3
Kabhi Khushi Kabhie Gham...,2001,U,Drama  Musical  Romance            ,4.4
Dilwale,2015,UA,Action  Comedy  Drama            ,6.7
She,2020–,16,Crime  Drama            ,7.9
Delivery Man,2013,UA,Comedy  Drama            ,7.6
Dsp,2022,UA,Action            ,4.9
Om Shanti Om,2007,UA,Action  Comedy  Drama            ,7.9
Maharani,2021–,A,Drama            ,7.6
Shiddat,2021,UA 13+,Romance            ,8.4
Shamshera,2022,UA,Action  Adventure  Drama            ,7.3
Kal Ho Naa Ho,2003,U,Comedy  Drama  Musical            ,8.1
Kuch Kuch Hota Hai,1998,U,Comedy  Drama  Musical            ,7.9
Shershaah,2021,UA,Action  Biography  Drama            ,7.9
Gadar: Ek Prem Katha,2001,UA,Action  Drama  Romance            ,6.9
A Wednesday,2008,UA,Action  Crime  Drama            ,7.9
Mimi,I 2021,13,Comedy  Drama            ,3.9
My Name Is Khan,2010,UA,Adventure  Drama  Romance            ,7.0
Haseen Dillruba,2021,18,Crime  Drama  Mystery            ,5.8
Thiruchitrambalam,2022,UA,Comedy  Drama  Musical            ,7.1
Bigg Boss,2006–,16+,Reality-TV            ,6.6
Badhaai Do,2022,UA,Comedy  Crime  Drama            ,7.5
Cuttputlli,2022,UA 16+,Crime  Drama  Mystery            ,7.4
Smile,VII 2022,,Drama            ,6.5
Raees,2017,UA,Action  Crime  Drama            ,6.0
Stree,2018,UA,Comedy  Horror            ,7.6
Dear Zindagi,2016,UA,Drama  Romance            ,7.8
Bimbisara,2022,UA,Action  Drama  Fantasy            ,7.6
Batti Gul Meter Chalu,2018,,Drama            ,5.7
Khuda Haafiz Chapter II: Agni Pariksha,2022,A,Action  Crime  Drama            ,6.6
Har Har Mahadev,2022,UA,Action  Drama  War            ,8.3
Moving in with Malaika,2022–,,Reality-TV            ,7.4
Come Play,2020,A,Drama  Horror  Mystery            ,6.9
Naai Sekar Returns,2022,U,Comedy            ,8.2
Pather Panchali,1955,U,Drama            ,5.7
House of Secrets: The Burari Deaths,2021,18,Documentary  Crime  History            ,9.2
Comali,2019,U,Comedy            ,7.3
"Swades: We, the People",2004,U,Drama  Musical            ,8.3
Bullet to the Head,2012,A,Action  Crime  Thriller            ,8.4
Aspirants,2021–,Not Rated,Drama            ,8.1
Jersey,2022,UA,Drama  Sport            ,7.2
Special Ops 1.5: The Himmat Story,2021–,UA 16+,Action  Crime  Drama            ,7.5
Sardar Udham,2021,UA 13+,Biography  Crime  Drama            ,8.4
Lagaan: Once Upon a Time in India,2001,U,Drama  Musical  Sport            ,9.1
Mom,I 2017,UA,Crime  Drama  Thriller            ,4.7
Devdas,I 2002,U,Drama  Musical  Romance            ,6.4
Garuda Gamana Vrishabha Vahana,2021,A,Crime  Drama  Thriller            ,7.5
NCR Days,2022–,Not Rated,Drama            ,6.2
Mismatch,2018–,A,Comedy            ,6.6
Lust Stories,2018,A,Drama  Romance            ,4.5
Lucifer,2019,UA,Action  Crime  Drama            ,7.0
Bride & Prejudice,2004,U,Comedy  Drama  Musical            ,7.2
Anek,2022,UA,Action  Drama  Sport            ,8.0
Ek Villain Returns,2022,UA,Action  Crime  Romance            ,5.2
Yeh Kaali Kaali Ankhein,2022–,16,Comedy  Crime  Mystery            ,7.1
Bajirao Mastani,2015,U,Action  Drama  History            ,6.2
Dilwale Dulhania Le Jayenge,1995,U,Drama  Romance            ,7.2
Zero,III 2018,UA,Comedy  Drama  Romance            ,9.6
Sonu Ke Titu Ki Sweety,2018,UA,Comedy  Romance            ,7.5
Maja Ma,2022,UA 16+,Comedy  Drama            ,6.2
Jogi,2022,UA 16+,Drama  Thriller            ,7.9
Pratikshya,2022,U,Drama            ,7.3
Tanhaji: The Unsung Warrior,2020,UA,Action  Biography  Drama            ,7.6
Vanity Fair,2004,PG-13,Drama            ,9.6
Gully Boy,2019,UA,Drama  Music  Romance            ,2.2
Indian Predator: Murder in a Courtroom,2022,A,Documentary  Crime            ,7.8
Ludo,2020,16,Action  Comedy  Crime            ,8.6
Vijayanand,2022,U,Biography            ,8.3
Climax,I 2020,A,Action  Horror  Thriller            ,5.3
Aarya,2020–,16,Crime  Drama  Thriller            ,6.7
Broken But Beautiful,2018–,18,Drama  Romance            ,5.6
Mulshi Pattern,2018,A,Crime  Drama            ,7.0
Saving Santa,2013 Video,,Animation  Adventure  Comedy            ,5.1
Antim: The Final Truth,2021,UA,Action  Crime  Drama            ,6.0
Paranoia,I 2013,PG-13,Drama  Thriller            ,7.0
Don 2,2011,UA,Action  Crime  Thriller            ,7.3
Ranga Ranga Vaibhavanga,2022,UA,Comedy  Drama  Romance            ,5.7
Bigg Boss Telugu,2017–,12+,Reality-TV            ,6.0
Padmaavat,2018,UA,Drama  History  Romance            ,6.2
Tamasha,2015,UA,Comedy  Drama  Romance            ,7.8
Bhool Bhulaiyaa 2,2022,UA,Comedy  Drama  Horror            ,4.5
Kabhi Alvida Naa Kehna,2006,UA,Drama  Romance            ,7.1
Honeymoon,2022,U,Comedy  Drama            ,6.2
Badla,2019,UA,Crime  Drama  Mystery            ,4.3
Prince,2022,U,Action  Drama  Romance            ,7.7
Dhamaka,2021,13,Crime  Drama  Thriller            ,3.4
Urvasivo Rakshasivo,2022,UA,Drama  Romance            ,8.3
Hacked,II 2020,A,Thriller            ,6.2
Meru,2015,R,Documentary  Sport            ,6.5
Gandii Baat,2018–,18+,Crime  Drama  Thriller            ,7.3
Vikram Vedha,2017,UA,Action  Crime  Drama            ,6.1
Fighter,2024,,Action  Thriller            ,8.1
The Fifth Estate,2013,UA,Biography  Crime  Drama            ,7.8
Roy,III 2022,,Thriller            ,7.7
Ghajini,2008,UA,Action  Drama  Mystery            ,6.5
Thar,2022,A,Action  Crime  Drama            ,7.7
Criminal Justice,2019–,15+,Crime  Drama  Mystery            ,8.1
Kaagaz Ke Phool,1959,U,Romance            ,6.4
Rockstar,2011,UA,Drama  Music  Romance            ,7.5
The Second Best Exotic Marigold Hotel,2015,PG,Comedy  Drama  Romance            ,7.6
Never Kiss Your Best Friend,2020–,A,Romance            ,7.9
Dil Bechara,2020,12+,Comedy  Drama  Romance            ,6.8
Atrangi Re,2021,UA 13+,Comedy  Drama  Fantasy            ,7.9
Dil Se..,1998,A,Drama  Romance            ,7.7
Sanju,2018,UA,Biography  Comedy  Drama            ,7.7
M.S. Dhoni: The Untold Story,2016,U,Biography  Drama  Sport            ,7.7
Bard of Blood,2019–,16+,Action  Adventure  Drama            ,7.5
Inside Edge,2017–,18+,Drama  Sport            ,7.5
Raazi,2018,UA,Action  Drama  Thriller            ,7.8
A Thursday,2022,UA 16+,Drama  Thriller            ,4.2
Govinda Naam Mera,2022,,Comedy  Drama  Romance            ,6.1
Masooda,2022,A,Horror  Thriller            ,7.8
The Namesake,2006,U,Drama            ,5.8
Varisu,2023,,Action  Drama            ,7.8
83,2021,U,Biography  Drama  History            ,7.0
The Lunchbox,2013,U,Drama  Romance            ,6.1
Chandni Chowk to China,2009,U,Action  Adventure  Comedy            ,4.8
A Suitable Boy,2020,15+,Drama  Romance            ,5.0
Aranyak,2021–,A,Crime  Drama  Mystery            ,8.6
Ae Dil Hai Mushkil,2016,UA,Drama  Music  Musical            ,7.2
Veer-Zaara,2004,U,Drama  Family  Musical            ,8.1
People Like Us,2012,PG-13,Comedy  Drama            ,7.8
Maa Da Ladla,2022,U,Comedy  Drama            ,7.9
Macherla Niyojakavargam,2022,UA,Action  Comedy  Drama            ,7.2
The Ghost,2022,UA,Action  Thriller            ,7.9
Faadu - A Love Story,2022–,A,Romance            ,8.5
Aashram,2020–2022,Not Rated,Crime  Drama  Mystery            ,7.1
Article 15,2019,UA,Crime  Drama  Mystery            ,7.8
Bhaukaal,2020–,15+,Action  Crime            ,3.7
Kaisi Yeh Yaariyan,2014–,13,Drama            ,8.2
Maharshi,2019,UA,Action  Drama            ,8.2
Human,2022–,A,Drama  Thriller            ,6.2
Karm Yuddh,2022–,UA 16+,Drama            ,2.6
Dahan: Raakan Ka Rahasya,2022–,A,Thriller            ,4.0
#69 Samskar Colony,2022,A,Romance            ,6.5
Street Fighter: The Legend of Chun-Li,2009,PG-13,Action  Adventure  Crime            ,7.9
Rangasthalam,2018,UA,Action  Drama            ,6.8
Little Things,2016–,U,Comedy  Romance            ,7.4
Sooryavanshi,2021,UA,Action  Crime  Thriller            ,7.0
Heropanti 2,2022,UA,Action  Comedy  Crime            ,5.1
Annaatthe,2021,UA,Action  Comedy  Drama            ,8.9
Jawaani Jaaneman,2020,UA,Comedy  Drama            ,6.7
Padman,2018,UA,Biography  Comedy  Drama            ,8.1
Chandigarh Kare Aashiqui,2021,UA,Comedy  Crime  Drama            ,8.1
Guilty Minds,2022–,A,Drama            ,6.6
Ghoul,2018,16,Drama  Fantasy  Horror            ,4.9
Alpha and Omega,2010,PG,Animation  Adventure  Comedy            ,4.6
Campus Diaries,2022–,UA 16+,Comedy  Drama  Romance            ,7.9
Ammu,II 2022,U,Drama            ,6.5
Talvar,2015,UA,Crime  Drama  Mystery            ,7.2
Munna Bhai M.B.B.S.,2003,U,Comedy  Drama            ,6.0
Thank You for Your Service,I 2017,A,Biography  Drama  War            ,4.4
Aashiqana,2022–,UA 16+,Romance  Thriller            ,7.0
Plan A Plan B,2022,UA 16+,Comedy  Romance            ,8.7
Jab We Met,2007,U,Comedy  Drama  Romance            ,8.3
Rathasaatchi,2022,,Thriller            ,2.2
Rab Ne Bana Di Jodi,2008,U,Comedy  Drama  Music            ,8.3
Chennai Express,2013,UA,Action  Comedy  Drama            ,8.4
Ghost Stories,2020,18,Horror  Thriller            ,8.1
Main Hoon Na,2004,UA,Action  Comedy  Drama            ,7.3
Soorarai Pottru,2020,U,Drama            ,7.4
Made in Heaven,2019–,16+,Drama  Romance            ,8.7
Kahaani Ghar Ghar Kii,2000–2008,Not Rated,Drama            ,7.3
Ratsasan,2018,UA,Crime  Drama  Mystery            ,8.1
Dunki,2023,,Comedy  Drama            ,6.4
Asur: Welcome to Your Dark Side,2020–,18,Crime  Drama  Mystery            ,8.1
Pink,III 2016,UA,Crime  Drama  Thriller            ,7.4
Charmsukh,2019–,A,Short            ,8.3
Jhund,2022,UA,Biography  Drama  Sport            ,4.8
Mumbai Diaries 26/11,2021–,UA,Drama  Thriller            ,8.5
Mard Ko Dard Nahin Hota,2018,UA,Action  Comedy            ,8.0
Pushpa: The Rule - Part 2,,,Action  Crime  Drama            ,8.7
Dil Chahta Hai,2001,Unrated,Comedy  Drama  Romance            ,6.3
Sadak,1991,A,Action  Drama  Romance            ,5.3
Queen,2013,UA,Adventure  Comedy  Drama            ,7.4
Kisi Ka Bhai Kisi Ki Jaan,2023,,Action  Comedy  Drama            ,8.3
Raid,2018,UA,Action  Crime  Drama            ,2.3
Jana Gana Mana,2022,UA,Crime  Drama            ,3.9
Ishqbaaaz,2016–2019,U,Drama  Family  Romance            ,8.3
Sixer,2022–,UA 16+,Drama  Sport            ,5.2
Undekhi,2020–,18,Crime            ,7.3
Chathuram,2022,A,Drama            ,6.6
Paglet,2021,A,Comedy            ,7.3
Baba,2002,U,Action  Drama  Fantasy            ,7.0
The Good Lie,2014,PG-13,Biography  Drama            ,6.5
Kirik Party,2016,U,Comedy  Drama            ,5.9
365 Days,2015,18,Drama  Romance            ,6.3
MTV Splitsvilla,2008–,16,Reality-TV  Romance            ,8.1
Meet Cute,2022–,U/A 16+,Drama            ,6.9
Beast,II 2022,UA,Action  Comedy  Thriller            ,4.2
Ala Vaikunthapurramuloo,2020,UA,Action  Comedy  Drama            ,8.1
Kochaal,2022,UA,Comedy  Drama  Thriller            ,8.9
Mardaani 2,2019,UA,Action  Crime  Drama            ,9.8
Mohabbatein,2000,U,Musical  Drama  Romance            ,3.5
War,2019,UA,Action  Adventure  Thriller            ,7.3
Tiger Zinda Hai,2017,UA,Action  Adventure  Thriller            ,8.1
Naane Varuvean,2022,UA,Action  Horror  Thriller            ,7.1
Shehzada,2023,,Action  Comedy  Drama            ,7.9
Bajrangi Bhaijaan,2015,UA,Action  Adventure  Comedy            ,7.2
Indori Ishq,2021–,Not Rated,Comedy  Drama  Romance            ,7.0
Palang Tod,2020–,18,Drama            ,8.1
Rang De Basanti,2006,UA,Comedy  Crime  Drama            ,6.9
Rocket Boys,2022–,UA 16+,Drama  History            ,6.0
Sahebs Who Never Left - Part 1: The Origins,2022,,Documentary  Short            ,3.4
Kalank,2019,UA,Drama  Romance            ,7.4
Dasvi,2022,UA 7+,Comedy  Drama            ,7.8
Barfi!,2012,U,Comedy  Drama  Romance            ,8.6
Duranga,2022,UA 16+,Crime  Drama  Thriller            ,4.5
Project K,2023,,Sci-Fi            ,5.5
Aamis,2019,UA,Drama  Fantasy  Horror            ,7.5
Talaash,2012,UA,Crime  Drama  Mystery            ,6.2
Secret of the Wings,2012,,Animation  Family  Fantasy            ,7.3
Chak De! India,2007,U,Drama  Family  Sport            ,7.1
12th Man,2022,UA,Drama  Mystery  Thriller            ,7.2
Jayeshbhai Jordaar,2022,UA,Comedy  Drama            ,7.7
Norm of the North,2016,U,Animation  Adventure  Comedy            ,6.9
Badlapur,2015,A,Action  Crime  Drama            ,7.8
English Vinglish,2012,U,Comedy  Drama  Family            ,9.0
Kana Kaanum Kaalangal,2022–,UA 16+,Drama            ,4.3
The Girl on the Train,2021,16,Crime  Drama  Mystery            ,8.6
Thunivu,2023,,Action  Adventure  Thriller            ,8.1
Good Luck Jerry,2022,UA,Comedy  Crime  Drama            ,8.7
Shaadi Mein Zaroor Aana,2017,UA,Drama  Romance            ,7.5
Dil Diyan Gallan,2019,UA,Drama  Romance            ,7.2
Ved,2022,,Drama  Romance            ,5.0
Master,2021,UA,Action  Thriller            ,5.9
X-Ray: Selected Satyajit Shorts,2021–,16,Crime  Drama  Thriller            ,7.4
Raat Akeli Hai,2020,18,Crime  Drama  Mystery            ,4.2
Eega,2012,UA,Action  Comedy  Drama            ,7.0
Srikanto,2022–,A,Drama            ,7.1
Bahu Hamari Rajni Kant,2016–2017,PG,Comedy            ,7.5
Moh,2022,UA,Romance            ,8.3
Roohi,2021,UA,Comedy  Horror            ,6.9
Pettaikaali,2022,UA 13+,Action            ,8.0
Masaan,2015,A,Drama            ,6.1
Anbe Sivam,2003,U,Adventure  Comedy  Drama            ,5.8
October,II 2018,U,Drama  Romance            ,6.4
Your Honor,I 2020–,18,Action  Drama  Thriller            ,6.5
Jab Harry Met Sejal,2017,UA,Comedy  Drama  Romance            ,8.2
Gehraiyaan,2022,A,Drama  Romance            ,7.2
Marjaney,2021,UA,Action            ,8.1
Love Games,2016,A,Crime  Thriller            ,9.0
Babli Bouncer,2022,UA 13+,Comedy  Drama            ,6.6
Fanaa,2006,U,Action  Drama  Romance            ,8.1
Vendhu Thanindhathu Kaadu,2022,UA,Action  Crime  Drama            ,1.9
Drishyam,2013,U,Crime  Drama  Thriller            ,7.5
Fan,I 2016,UA,Action  Drama  Thriller            ,7.4
Haider,2014,UA,Action  Crime  Drama            ,7.7
Bellbottom,2021,UA,Action  Thriller            ,9.2
Bigg Boss Tamil,2017–,12+,Reality-TV            ,8.8
The Congress,2013,,Animation  Drama  Sci-Fi            ,6.5
Cobalt Blue,II 2022,18,Drama  Romance            ,5.3
Witness,2022,U,Drama            ,8.0
Yeh Jawaani Hai Deewani,2013,UA,Drama  Musical  Romance            ,8.2
24,2013–2016,UA,Action  Adventure  Crime            ,7.4
Mahabharat,2013–2014,12+,Drama  History  War            ,6.4
Dhoom,2004,UA,Action  Crime  Drama            ,6.8
Hera Pheri,2000,U,Action  Comedy  Crime            ,8.3
Radhe,2021,UA,Action  Crime  Thriller            ,8.0
Jodhaa Akbar,2008,UA,Action  Drama  History            ,7.2
Kesari,2019,UA,Action  Drama  History            ,7.9
Rangbaaz: Darr Ki Rajneeti,2022–,UA 13+,Action            ,7.3
Dharani Mandala Madhyadolage,2022,UA,Drama            ,6.0
Dhindora,2021–,Not Rated,Comedy  Drama            ,6.9
De De Pyaar De,2019,UA,Comedy  Drama  Romance            ,8.3
Radhe Shyam,2022,UA,Drama  Romance            ,6.9
Rangbaaz,2018–,A,Action  Biography  Crime            ,7.6
Modern Love: Mumbai,2022–,A,Comedy  Romance            ,5.4
The River,1951,,Drama  Romance            ,6.7
Asoka,2001,UA,Action  Biography  Drama            ,6.7
Eiga Doraemon: Nobita no getsumen tansaki,2019,,Animation  Action  Adventure            ,8.1
Tabbar,2021–,A,Drama  Thriller            ,4.7
Gaalodu,2022,UA,Drama            ,7.7
Ittefaq,2017,UA,Crime  Mystery  Thriller            ,8.3
Decoupled,2021–,16,Comedy  Drama            ,8.2
Monsoon Wedding,2001,A,Comedy  Drama  Romance            ,5.1
Indian Predator: The Butcher of Delhi,2022,A,Documentary  Crime  History            ,4.3
Gali Guleiyan,2017,UA,Drama  Thriller            ,7.2
